date,TempMax,TempMin,TempMean,RelHumMax,RelHumMin,RelHumMean
1/1/1972,26.92,13.72,19.767,90.249,38.23,66.266
1/2/1972,24.65,12.33,18.825,93.62,43.909,68.214
1/3/1972,24.15,14.32,18.549,94.32,39.953,68.29
1/4/1972,24.47,11.29,18.124,94.066,38.128,69.626
1/5/1972,24.85,12.31,17.808,94.992,42.912,72.677
1/6/1972,25.16,10.87,17.348,97.826,41.959,75.442
1/7/1972,24.65,10.18,17.102,97.017,38.103,69.139
1/8/1972,23.73,10.62,16.321,83.844,30.324,61.051
1/9/1972,23.38,10.39,16.253,87.821,34.481,65.598
1/10/1972,23.3,10.52,16.217,90.919,40.688,66.819
1/11/1972,24.47,10.14,16.637,92.434,36.59,68.909
1/12/1972,24.51,10.4,16.927,91.336,32.531,65.396
1/13/1972,25.12,10.36,17.293,92.829,39.038,71.498
1/14/1972,25.14,12.31,17.728,95.188,42.709,73.184
1/15/1972,25.16,12.64,17.977,99.287,39.919,74.727
1/16/1972,26.25,12.47,18.801,96.944,35.766,68.886
1/17/1972,25.45,10.93,17.777,93.419,37.543,69.436
1/18/1972,26.01,10.78,17.811,91.193,31.021,63.443
1/19/1972,26.52,12.25,18.488,91.17,33.938,69.059
1/20/1972,26.83,11.64,18.523,94.146,35.255,70.115
1/21/1972,26.6,13.69,18.956,90.702,35.665,68.991
1/22/1972,25.59,12.83,18.603,99.159,40.227,72.269
1/23/1972,26.08,13.2,19.406,99.164,36.127,68.367
1/24/1972,26.97,13.7,19.827,90.787,35.841,64.544
1/25/1972,27.13,13.25,18.714,93.605,37.419,72.071
1/26/1972,27.2,13.73,19.228,92.234,42.333,74.041
1/27/1972,26.73,14.85,20.34,93.485,38.132,66.717
1/28/1972,27.24,15.79,21.244,93.609,38.175,63.982
1/29/1972,25.71,15.69,20.35,91.749,47.845,70.87
1/30/1972,26.12,16.06,20.317,96.681,49.845,73.936
1/31/1972,27.12,14.67,19.979,90.79,41.598,70.915
2/1/1972,27.08,16.65,21.004,95.3,40.035,71.241
2/2/1972,28.91,17.83,22.558,93.847,37.819,68.556
2/3/1972,26.64,17.46,21.353,95.732,49.825,77.301
2/4/1972,23.43,18.58,20.02,99.251,70.035,88.417
2/5/1972,22.77,18.08,19.617,96.424,70.054,87.598
2/6/1972,23.5,14.77,19.295,92.568,62.253,79.66
2/7/1972,20.29,10.04,16.079,92.803,44.992,68.932
2/8/1972,20.57,9.69,15.146,96.231,39.33,69.271
2/9/1972,20.35,10.62,15.009,97.364,39.566,70.849
2/10/1972,21.47,9.31,14.94,94.018,47.732,73.5
2/11/1972,23.46,9.27,16.53,93.451,39.011,69.287
2/12/1972,24.34,11.05,18.203,93.469,42.968,68.085
2/13/1972,23.69,13.99,18.574,90.685,50.181,71.798
2/14/1972,21.36,12.88,17.367,100.072,65.541,83.4
2/15/1972,21.67,12.03,16.901,96.996,43.111,71.472
2/16/1972,23.18,13.99,18.29,94.524,39.677,68.625
2/17/1972,25.58,13.72,18.952,88.04,35.043,63.645
2/18/1972,24.98,11.74,18.26,79.161,42.299,61.847
2/19/1972,24.24,10.41,17.066,81.538,32.655,61.27
2/20/1972,24.95,11.18,17.393,78.752,32.858,61.085
2/21/1972,26.49,12.69,18.287,85.722,33.475,63.673
2/22/1972,27.43,13.5,19.843,87.3,33.899,63.688
